code,count,street
01,0,Henrik Ibsens gate
02,0,Munkedamsveien
03,0,Haakon VIIs gate
04,0,Ruseløkkveien
05,0,Stortingsgata
06,0,Universitetsgata
07,0,Akershusstranda
08,0,Rådhusgata
09,0,Langkaia
10,0,Jernbanetorget
11,0,Biskop Gunnerus' gate
12,0,Schweigaards gate
13,0,Nylandsveien
14,0,Stenersgata
15,0,St. Olavs gate
16a,0,Fredensborgveien
16b,0,Fredensborgveien
17,0,Hausmanns gate
18,0,Karl Johans gate
19,0,Prinsens gate
20,0,Tollbugata
21,0,Grensen
22,0,Torggata
23a,0,Møllergata
23b,0,Møllergata
24a,0,Akersgata
24b,0,Akersgata
24c,0,Akersgata
24d,0,Akersgata
25a,0,Grubbegata
25b,0,Grubbegata
26a,0,Kongens gate
26b,0,Kongens gate
27,0,Kirkegata
28,0,Dronningens gate
29,0,Skippergata
30,0,Nedre Slottsgate
31,0,Øvre Slottsgate
32,0,Rosenkrantz' gate
36,0,Bernt Ankers gate
37,0,Wilses gate
38,0,Keysers gate
39,0,Apotekergata
44,0,Arbeidsgate
45,0,Smedkroken
46,0,Sehesteds gate
47,0,Kristian Augusts gate
48,0,Mariboes gate
49,0,Hammersborg torg
50,0,Kristian IVs gate
